,scores
155,-1009.5996412724271
156,-1586.6765893638253
157,-1124.9597326473665
158,-1456.1037374036669
159,-1572.5147421874678
160,-1290.9948729349594
161,-1481.3837175454971
162,-859.8535676670671
163,-1399.2581108742972
164,-1216.3889739970589
165,-1056.8241206050461
166,-975.0667801682673
167,-1706.5917302959263
168,-1227.3706975872167
169,-1088.2226606607846
170,-1130.0114247340332
171,-1135.0446164568505
172,-1603.4185945247614
173,-1278.1030912489293
174,-1315.7273337685601
175,-1136.7630185735875
176,-924.4138577689765
177,-980.7704812048887
178,-870.0454880196894
179,-1249.748066447967
180,-1359.255840827756
181,-772.4531702884125
182,-1352.2989477534436
183,-1192.8793242745826
184,-1459.611989537861
185,-1144.971470648116
186,-1204.8075074888206
187,-974.5475005922927
188,-1092.009192841551
189,-1101.7319589296276
190,-1509.5429444095919
191,-1100.416464282743
192,-1006.1533070396699
193,-874.1721816983808
194,-1196.3917687787202
195,-1183.7123311628122
196,-1757.3154587108902
197,-795.641704568074
198,-783.9001132418315
199,-879.0515196170355
200,-754.9213237437399
201,-1155.4057650711316
202,-876.1334610916368
203,-862.1752801520281
204,-982.7996122440269
205,-653.4921538924955
206,-748.8774954817939
207,-1038.3611126458554
208,-940.4041454537589
209,-997.7634852048276
210,-750.8925844475739
211,-966.0103693611561
212,-1144.539708979377
213,-986.3030493955303
214,-1008.2113958464486
215,-1012.152578521223
216,-1137.9671185312557
217,-1259.2673903274797
218,-869.6053827274956
219,-1304.098566473153
220,-759.9488989838734
221,-868.7045645075711
222,-1172.6220464197354
223,-982.3046409739012
224,-785.1925346266665
225,-839.9327287657607
226,-1009.4009201241316
227,-1179.2589598176032
228,-885.8538736200774
229,-764.4873570024093
230,-1047.5458232237131
231,-756.5100223682749
232,-1144.282598121696
233,-867.3650445827504
234,-1561.0612505154174
235,-664.952334449484
236,-874.5196401738083
237,-1092.0262212684502
238,-1283.3756320041732
239,-900.9553820463334
240,-1152.2974894767299
241,-756.5442809969261
242,-908.174891814173
243,-880.6492215407068
244,-819.1686710687453
245,-1232.11730506719
246,-1013.0161804308742
247,-884.8935759715325
248,-884.4033284545583
249,-859.5036607785765
250,-1152.5486175718224
251,-707.1716048058352
252,-1091.5907109444825
253,-848.9946031968756
254,-831.9432761756201
255,-1161.7788453492592
256,-875.7456127021579
257,-1008.4126584228801
258,-891.6100273388876
259,-1006.7930548719804
260,-1313.8121695965724
261,-879.965339016169
262,-1045.9058096734752
263,-915.8779580663487
264,-1250.3684461193266
265,-1162.6497805638346
266,-776.1269209606436
267,-640.7038621697027
268,-792.4160079514297
269,-777.7785825740033
270,-643.4563926728428
271,-766.4673752005576
272,-1433.9337113604079
273,-920.9113606387957
274,-631.2461205434047
275,-837.8594249135009
276,-865.7796210929151
277,-1152.5832587616626
278,-638.7193305510765
279,-1526.814511583282
280,-1426.6189636930517
281,-1463.0886557372576
282,-808.5757620999858
283,-885.4112183709149
